read,title,author,tags,rating,date
0,la sexualité décomplexée,blanc,sexe,,
0,the mystery method,mystery,séduction,,
0,l'insoutenable légèreté de l'être,kundera,roman,,
0,le guerrier pacifique,millman,self-help,,
0,les 5 blessures qui empêchent d'être soi-même,bourbeau,self-help,,
0,le petit livre de la loi de l'attraction,bogdanov,self-help,,
0,fugitives,munro,roman,,
1,confessions of a sociopath,thomas,biographie,,
0,da vinci code,brown,roman,,
0,la religion,willocks,roman,,
0,le pistolero,king,roman,,
0,born a crime,noah,biographie,,
0,work principles,dalio,work,,
0,the unicorn project,kim,informatique,,
0,designing data intensive applications,kleppmann,informatique,,
0,365 recettes pour toute l'année !,marmiton,cuisine,,
0,c++ en action,stephens,"informatique, programmation",,
0,the algorithm design manual,skiena,informatique,,
0,the elements of statistical learning,hastie,"informatique, maths",,
1,the law of success,hill,self-help,,
0,primal leadership,goleman,psyschologie,,
0,soft skills,sonmez,work,,
0,scala cookbook,alexander,"informatique, programmation",,
0,the C++ standard library,josuttis,"informatique, programmation",,
1,chaos monkey,martinez,biographie,,
1,glamorama,ellis,roman,,
0,data clustering,aggarwal,"informatique, maths",,
1,bloody miami,wolfe,roman,,
0,my system,nimzowitsch,chess,,
0,python in a nutshell,martelli,"informatique, programmation",,
0,programming in scala,odersky,"informatique, programmation",,
0,the devops handbook,kim,informatique,,
0,the manager's path,fournier,work,,
0,high performance web sites,souders,informatique,,
0,founders at work,livingston,startup,,
0,javascript the good parts,crockford,"informatique, programmation",,
0,the annotated c++ reference manual,stroustrup,"informatique, programmation",,
1,a concise guide to macroeconomics,moss,economy,,
0,algorithmique,cormen,informatique,,
0,release it !,nygard,"informatique, work",,
0,batman le chevalier noir tome 4,hurwitz,comics,,
0,batman sombre reflet tome 2,snyder,comics,,
0,batman le chevalier noir tome 2,hurwitz,comics,,
0,batman le chevalier noir tome 3,hurwitz,comics,,
0,petrograd,gelatt,comics,,
1,working the street,banks,"finance, work",,
0,market infrastructure,abergel,"finance, work",,
1,"mouvement brownien, martingales et calcul stochastique",le gall,maths,,
0,"options, futures et autres actifs dérivés",hull,finance,,
0,frequently asked questions in quantitative finance,wilmott,finance,,
1,starting your career as a wall street quant,jiu,finance,,
0,trading and exchanges,harris,finance,,
0,analysis of financial time series,tsay,finance,,
0,civilisation britannique,john,histoire,,
0,civilisation des états-unis,pauwels,histoire,,
1,william morris,fiell,art,,
0,modern art,britt,art,,
1,lagom,brones,sociologie,,
0,100 manga artists,wiedemann,art,,
0,living in tuscany,taschen,art,,
0,serious training for endurance athlete,browning,sport,,
0,the triathlete's training bible,friel,sport,,
0,going long,friel,sport,,
1,the burnout society,han,philosophy,,
0,walking dead tome 2,kierkman,comics,,
0,muas,spiegelman,bd,,
0,la loi de l'attraction,hicks,self-help,,
0,no more mister nice guy,glover,self-help,,
0, la capacité d'être seul,winnicott,psychologie,,
0,cracking the coding interview,mcDowell,informatique,,
1,le guide de l'homme stylé,bruyère,clothes,,
1,the breaker tome 1,jeon,manga,,
